customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgChargesPerMonth,Predicted_Churn,Churn_Probability
5375,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,29.85,0,14.925,1,0.8063301967208255
3962,1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1889.5,0,53.98571428571429,0,0.08722071098290005
2564,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,108.15,1,36.050000000000004,1,0.724934901682578
5535,1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,42.3,1840.75,0,40.016304347826086,0,0.070887569396553
6511,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65,1,50.550000000000004,1,0.8074769889134806
6551,0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,820.5,1,91.16666666666667,1,0.9034684170218372
1002,1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,89.1,1949.4,0,84.75652173913043,1,0.6667301347400231
4770,0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,301.9,0,27.44545454545454,0,0.361528244698851
5604,0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,3046.05,1,105.03620689655173,1,0.7132793090085614
4534,1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,56.15,3487.95,0,55.364285714285714,0,0.0719241870997306
6871,1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95,587.45,0,41.96071428571429,0,0.37347962524450035
5288,1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,18.95,326.8,0,19.223529411764705,0,0.024272261605298214
5751,1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.35,5681.1,0,96.28983050847458,0,0.3995707413790356
174,1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,5036.3,1,100.726,1,0.7355797408265172
3615,1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,105.5,2686.05,0,103.3096153846154,1,0.606827307957597
2556,0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,7895.15,0,112.78785714285713,0,0.09706803125093316
5820,0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.65,1022.95,0,19.300943396226415,0,0.02023703393510347
7019,1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,7382.25,0,102.53125,0,0.10131343898423618
2937,0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,528.35,1,48.03181818181818,0,0.47491164902845695
2928,0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05,1862.9,0,84.67727272727274,1,0.7431826555905328
6207,1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,39.65,1,19.825,1,0.8438504613571743
1141,1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,202.25,0,15.557692307692308,0,0.16977313462258328
723,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,20.15,1,10.075,1,0.764884565206199
2541,0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,59.9,3505.1,0,59.40847457627118,0,0.027750569418918895
4479,1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,59.6,2970.3,0,59.406000000000006,0,0.15585917002360114
4873,0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,55.3,1530.6,0,49.37419354838709,0,0.29754493788615344
4584,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4749.15,1,98.940625,1,0.7684476929143331
6119,1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,30.2,1,15.1,1,0.8233979997658225
3733,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,90.25,6369.45,0,87.2527397260274,0,0.009183076055226112
6199,0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,1093.1,1,60.727777777777774,0,0.4810602739405356
2700,0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,96.35,6766.95,0,93.98541666666667,0,0.05890885830418007
3481,1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,95.5,181.65,0,60.550000000000004,1,0.8635890384757031
4844,0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,66.15,1874.45,0,66.94464285714285,0,0.08823261383472371
